linha_id,linha,sistema,subsistema,operador,fase,etapa,status,placemark,segmento,ordem_ponto,latitude,longitude,origem_aba,cidade,estacao_id,distrito
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,675,-23.5470211966827,-46.66004700555391,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,676,-23.5470784345092,-46.6598717842138,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,677,-23.5471403771814,-46.6596984555377,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,678,-23.5471600986003,-46.6596462293607,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,679,-23.5471817750992,-46.6595901583157,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,680,-23.5472020358171,-46.65953881591379,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,681,-23.547224666943,-46.6594824757501,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,682,-23.5472450888809,-46.6594323945976,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,683,-23.5472686802686,-46.6593752552118,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,684,-23.547288505142,-46.6593277098349,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,685,-23.5473134471796,-46.6592683305448,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,686,-23.5473284746749,-46.6592327290315,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,687,-23.5473586027398,-46.6591615265224,metropolitano,São Paulo,angelica,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,688,-23.5482191457482,-46.6571293852156,metropolitano,São Paulo,estacao_agregada_0178,kml_84
linha_06_laranja,Linha 06 - Laranja,Sistema Metropolitano,Em andamento - Subsistema secundário,Em andamento - Subsistema secundário,,,em construção,Linha 06 - Traçado,1,689,-23.5482518392194,-46.65705228269569,metropolitano,São Paulo,estacao_agregada_0178,kml_84
